"state","utility_name","energy_type","ownership_eep_determined","parent"
"AK","Enstar Nat Gas - AK","gas","Investor Owned",NA
"CA","Long Beach City of - CA","gas","Municipal",NA
"NY","Orange & Rockland Utilities Inc - NY","gas","Investor Owned","ConEd"
"KS","Atmos Energy Corporation - Co","gas","Investor Owned",NA
"DE","Delmarva Power And Light Co - DE","gas","Investor Owned","Exelon"
"KY","Columbia Gas Dist Co - KY","gas","Investor Owned","NiSource"
"MS","Centerpoint Energy Entex - MS","gas","Investor Owned",NA
"MO","Ameren Missouri - MO","gas","Investor Owned",NA
"LA","Centerpoint Energy Arkla - LA","gas","Investor Owned","Entergy"
"WV","Hope Gas Inc - WV","gas","Investor Owned",NA
"CO","Atmos Energy Corporation - CO","gas","Investor Owned",NA
"FL","Florida City Gas - FL","gas","Investor Owned","Chesapeake Utilities Corporation"
"LA","Centerpoint Energy Entex - LA","gas","Investor Owned","Entergy"
"KS","Black Hills Energy - KS","gas","Investor Owned","Black Hills Corp"
"WI","Northern States Pwr Co - WI","gas","Investor Owned","Xcel"
"ND","Montana Dakota Utilities Co - ND","gas","Investor Owned","MDU Resources Group, Inc"
"WA","Northwest Natural Gas Co - OR","gas","Investor Owned",NA
"OR","Avista Corp","gas","Investor Owned",NA
"OK","Centerpoint Energy Arkla - OK","gas","Investor Owned",NA
"NH","Liberty Utilities DBA Energy North N - NH","gas","Investor Owned",NA
"MT","Montana Dakota Utilities Co - MT","gas","Investor Owned","MDU Resources Group, Inc"
"AL","Spire Gulf Inc - AL","gas","Investor Owned",NA
"MO","Springfield City Utils - MO","gas","Municipal",NA
"OR","Cascade Nat Gas Corp - OR","gas","Investor Owned",NA
"DE","Chesapeake Utilities Corporation - DE","gas","Investor Owned",NA
"TX","Starr County Gas System - TX","gas","Political Subdivision",NA
"GA","Austell Nat Gas Sys - GA","gas","Investor Owned",NA
"FL","Sunrise City of - FL","gas","Municipal",NA
"TX","Sienergy Lp - TX","gas","Investor Owned",NA
"VA","Roanoke Gas Company - VA","gas","Investor Owned","RGC Resources"
"TN","Chattanooga Gas Co - TN","gas","Investor Owned","Southern Company"
"WY","Black Hills Energy - WY","gas","Investor Owned","Black Hills Corp"
"SD","Montana Dakota Utilities Co - SD","gas","Investor Owned","MDU Resources Group, Inc"
"AL","Huntsville Utilities Nat Gas Dept - AL","gas","Municipal",NA
"GA","Central Georgia Electric Member Corp","electric","Cooperative",NA
"TX","Corpus Christi Gas Div - TX","gas","Municipal",NA
"ND","Northern States Pwr Co - ND","gas","Investor Owned","Xcel"
